symbol,kind,parameters
FUN_010D74C0,D8,208;2304;2108
FUN_010D7530,D32,208;512;2364
FUN_010D7550,D8,208;512;2420
FUN_010D7570,D8,208;512;2421
FUN_010D76E0,D8,208;2560;2689
FUN_010DB590,D8,192;80;49404
FUN_010DB5B0,D8,192;80;49405
FUN_010DB5D0,D32,192;80;49408
FUN_010DB5F0,D8,192;80;49412
FUN_010DB640,D8,192;48;49572
FUN_010DB660,D8,192;2064;49573
FUN_010DB680,D32,192;32;49576
FUN_010DB6A0,D32,192;2048;49580
FUN_010DB8D0,D32,192;32;49884
FUN_010DB8F0,D8,192;32;49940
FUN_010DB910,D8,192;32;49941
FUN_010DBA20,D32,192;2048;50264
FUN_010DBA40,D8,192;2048;50320
FUN_010DBA60,D8,192;2048;50321
FUN_0114F820,D32,188;4;104
FUN_0114F940,D8,188;64;168
